campaign    region  slot_type   slot_template
wh3_main_chaos  wh3_main_chaos_region_krudenwald	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_fort_dorznye_vort	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_black_fang	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_hag_hall	secondary	wh_main_human_major_secondary_pastures
wh3_main_combi	wh3_main_combi_region_village_of_the_moon	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_hanyu_port	secondary	wh_main_human_major_secondary
wh3_main_combi	wh3_main_combi_region_the_sinhall_monolith	secondary	wh3_main_human_minor_secondary_ivory
wh3_main_combi	wh3_main_combi_region_the_twisted_towers	secondary	wh3_dlc20_special_the_twisted_towers_secondary
wh3_main_combi	wh3_main_combi_region_storag_kor	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_hanyu_port	primary	wh3_dlc27_human_major_primary_port
wh3_main_combi	wh3_main_combi_region_talabheim	secondary	wh_main_special_talabheim_secondary
wh3_main_combi	wh3_main_combi_region_dawns_light	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_winter_pyre	secondary	wh_main_norsca_minor_secondary
wh3_main_combi	wh3_main_combi_region_chaqua	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_the_cursed_jungle	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_khymerica_spire	secondary	wh_main_human_minor_secondary_salt
wh3_main_combi	wh3_main_combi_region_the_sacred_pools	secondary	wh2_dlc16_sacred_pools_secondary
wh3_main_chaos	wh3_main_chaos_region_black_fang	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_ka_sabar	primary	wh2_dlc09_special_ka_sabar_primary
wh3_main_chaos	wh3_main_chaos_region_xen_wu	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_griffon_gate	secondary	wh2_main_special_fortress_gate_secondary
wh3_main_combi	wh3_main_combi_region_gaean_vale	primary	wh2_dlc10_special_gaean_vale_primary
wh3_main_combi	wh3_main_combi_region_lyonesse	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_pools_of_despair	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_nuln	secondary	wh3_main_special_nuln_secondary_iron
wh3_main_combi	wh3_main_combi_region_waldenhof	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_soteks_trail	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_tai_tzu	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_aarnau	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_the_copper_landing	port	wh_main_norsca_port
wh3_main_combi	wh3_main_combi_region_eldar_spire	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_eye_of_the_panther	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_grotrilexs_glare_lighthouse	port	wh_main_port
wh3_main_chaos	wh3_main_chaos_region_mist_gorge	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_xlanzec	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_tor_elasor	primary	wh2_main_special_elven_colony_minor_primary
wh3_main_chaos	wh3_main_chaos_region_nan_li	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_castle_drachenfels	secondary	wh_main_human_minor_secondary_marble
wh3_main_combi	wh3_main_combi_region_zhufbar	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_bridge_of_heaven	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_tor_koruali	primary	wh2_main_special_tor_koruali_primary
wh3_main_combi	wh3_main_combi_region_zarakzil	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_the_daemons_stump	primary	wh3_dlc23_special_daemons_stump_primary
wh3_main_combi	wh3_main_combi_region_castle_drakenhof	secondary	wh_main_special_castle_drakenhof_secondary
wh3_main_combi	wh3_main_combi_region_couronne	primary	wh_main_special_couronne_primary
wh3_main_combi	wh3_main_combi_region_zvorak	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_gor_gazan	primary	wh2_main_special_gor_gazan_primary
wh3_main_chaos	wh3_main_chaos_region_novchozy	secondary	wh_main_human_minor_secondary_dyes
wh3_main_combi	wh3_main_combi_region_the_twisted_glade	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_unicorn_gate	primary	wh2_main_special_fortress_gate_unicorn_primary
wh3_main_combi	wh3_main_combi_region_khemri	secondary	wh2_main_special_khemri_secondary
wh3_main_combi	wh3_main_combi_region_plain_of_spiders	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_karak_krakaten	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_eagle_gate	secondary	wh2_main_special_fortress_gate_secondary
wh3_main_combi	wh3_main_combi_region_oakenhammer	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_dragonhorn_mines	primary	wh3_main_special_dragonhorn_mines_primary
wh3_main_chaos	wh3_main_chaos_region_the_gates_of_zharr	primary	wh3_dlc23_special_gates_of_zharr_primary
wh3_main_chaos	wh3_main_chaos_region_siegfriedhof	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_citadel_of_dusk	primary	wh2_main_special_elven_colony_major_primary
wh3_main_combi	wh3_main_combi_region_fuming_serpent	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_hag_graef	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_the_crystal_spires	primary	wh3_dlc20_special_the_crystal_spires_major_primary
wh3_main_combi	wh3_main_combi_region_serpent_jetty	port	wh_main_norsca_port
wh3_main_combi	wh3_main_combi_region_copher	port	wh2_dlc14_special_copher_port
